check date,check type,status,message
2024-02-21 00:28:33.017504,filehash,OK,"FILE=/etc/environment, OLD_HASH=f3377ed52072acbbf4cbb59af03c7fdb, OLD_HASH_DATE= 2024-02-20 04:53:54.111798, CURRENT_HASH=f3377ed52072acbbf4cbb59af03c7fdb"
2024-02-21 00:28:33.017504,pingcheck,FAIL,"SERVER=123.123.123.123,TIME(MS)=Not found"
2024-02-21 00:28:33.017504,pingcheck,OK,"SERVER=172.31.83.19,TIME(MS)=0.53"
2024-02-21 00:28:33.017504,pingcheck,OK,"SERVER=172.31.88.68,TIME(MS)=0.44"
2024-02-21 00:29:11.627073,filehash,OK,"FILE=/etc/hosts, OLD_HASH=1463508f28edb4d6d5ae349b20e00409, OLD_HASH_DATE= 2024-02-20 22:03:18.243404, CURRENT_HASH=1463508f28edb4d6d5ae349b20e00409"
2024-02-21 00:29:11.627672,filehash,OK,"FILE=/etc/ssh/sshd_config, OLD_HASH=23a8a2b1a8f1538be49eb86313367191, OLD_HASH_DATE= 2024-02-20 04:53:54.096016, CURRENT_HASH=23a8a2b1a8f1538be49eb86313367191"
2024-02-21 00:29:11.628201,filehash,OK,"FILE=/etc/group, OLD_HASH=a32d2ce5c98f6262e11989e2ce141461, OLD_HASH_DATE= 2024-02-20 04:53:54.101349, CURRENT_HASH=a32d2ce5c98f6262e11989e2ce141461"
2024-02-21 00:29:11.628733,filehash,OK,"FILE=/etc/passwd, OLD_HASH=d5e01e1a884cf82c56430e3f3e49e50b, OLD_HASH_DATE= 2024-02-20 04:53:54.106727, CURRENT_HASH=d5e01e1a884cf82c56430e3f3e49e50b"
2024-02-21 00:29:11.629258,filehash,FAIL,"FILE=/home/ubuntu/testfile.txt, OLD_HASH=ed8bd064ecdde8ca7adb4acbc90f9d, OLD_HASH_DATE= 2024-02-20 18:11:47.413664, CURRENT_HASH=ed8bd064ecdde8ca7adb4acbc90f9d98"
2024-02-21 00:29:11.629772,filehash,OK,"FILE=/etc/environment, OLD_HASH=f3377ed52072acbbf4cbb59af03c7fdb, OLD_HASH_DATE= 2024-02-20 04:53:54.111798, CURRENT_HASH=f3377ed52072acbbf4cbb59af03c7fdb"
2024-02-21 00:29:11.629772,pingcheck,FAIL,"SERVER=123.123.123.123,TIME(MS)=Not found"
2024-02-21 00:29:11.629772,pingcheck,OK,"SERVER=172.31.83.19,TIME(MS)=0.52"
2024-02-21 00:29:11.629772,pingcheck,OK,"SERVER=172.31.88.68,TIME(MS)=0.43"
